epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2588.81,1.41122,1.09045,1.39544,0.58246,0.5614,0.56142,0.2155,2.03328,1.78241,1.89658,0.0011882,0.0011882,0.0011882
43,2645.68,1.28974,1.03009,1.3255,0.58233,0.61154,0.59989,0.2533,1.99801,1.67094,1.88351,0.0011684,0.0011684,0.0011684
44,2702.98,1.5436,1.24883,1.55627,0.6033,0.6404,0.64136,0.28839,2.00192,1.61736,1.89685,0.0011486,0.0011486,0.0011486
45,2760.24,1.28315,1.07974,1.40543,0.64442,0.57895,0.6106,0.27602,2.04177,1.65576,1.95782,0.0011288,0.0011288,0.0011288
46,2817.84,1.33846,1.14307,1.39466,0.59044,0.5312,0.54641,0.24475,2.13939,1.81554,1.9826,0.001109,0.001109,0.001109
47,2875.71,1.28545,0.99603,1.32119,0.68482,0.45614,0.58061,0.25483,2.12013,1.74967,2.0176,0.0010892,0.0010892,0.0010892
48,2934.47,1.48955,1.22039,1.40878,0.89816,0.46433,0.63801,0.29002,2.0263,1.62226,1.96883,0.0010694,0.0010694,0.0010694
49,2994.41,1.32705,0.94801,1.3842,0.7978,0.55389,0.70253,0.28666,2.01033,1.65252,1.93388,0.0010496,0.0010496,0.0010496
50,3052.11,1.27714,0.98482,1.31192,0.73459,0.57895,0.68519,0.29267,2.04664,1.54905,1.96141,0.0010298,0.0010298,0.0010298
51,3110.9,1.2463,0.92588,1.33926,0.80304,0.50877,0.64389,0.26417,2.13691,1.58198,2.0525,0.00101,0.00101,0.00101
52,3170.01,1.33675,1.24103,1.51502,0.64813,0.61399,0.61614,0.21619,2.26512,1.52348,2.18163,0.0009902,0.0009902,0.0009902
53,3238.34,1.22432,0.9241,1.25464,0.71161,0.5614,0.6645,0.22128,2.27511,1.50531,2.17133,0.0009704,0.0009704,0.0009704
54,3297.64,1.41329,1.02152,1.42992,0.66809,0.6357,0.67132,0.24652,2.22984,1.46479,2.10975,0.0009506,0.0009506,0.0009506
